round,accuracy,method,supernodes,fraction,rounds,partition,job_index
0,0.1001,fedavg,10,1.0,50,iid,1
1,0.1957,fedavg,10,1.0,50,iid,1
2,0.1837,fedavg,10,1.0,50,iid,1
3,0.2723,fedavg,10,1.0,50,iid,1
4,0.3124,fedavg,10,1.0,50,iid,1
5,0.3502,fedavg,10,1.0,50,iid,1
6,0.3842,fedavg,10,1.0,50,iid,1
7,0.4192,fedavg,10,1.0,50,iid,1
8,0.4457,fedavg,10,1.0,50,iid,1
9,0.4582,fedavg,10,1.0,50,iid,1
10,0.469,fedavg,10,1.0,50,iid,1
11,0.4867,fedavg,10,1.0,50,iid,1
12,0.4968,fedavg,10,1.0,50,iid,1
13,0.5089,fedavg,10,1.0,50,iid,1
14,0.5224,fedavg,10,1.0,50,iid,1
15,0.5269,fedavg,10,1.0,50,iid,1
16,0.5391,fedavg,10,1.0,50,iid,1
17,0.5482,fedavg,10,1.0,50,iid,1
18,0.5574,fedavg,10,1.0,50,iid,1
19,0.5624,fedavg,10,1.0,50,iid,1
20,0.5683,fedavg,10,1.0,50,iid,1
21,0.5812,fedavg,10,1.0,50,iid,1
22,0.5873,fedavg,10,1.0,50,iid,1
23,0.5937,fedavg,10,1.0,50,iid,1
24,0.6028,fedavg,10,1.0,50,iid,1
25,0.6098,fedavg,10,1.0,50,iid,1
26,0.6163,fedavg,10,1.0,50,iid,1
27,0.6235,fedavg,10,1.0,50,iid,1
28,0.6273,fedavg,10,1.0,50,iid,1
29,0.6312,fedavg,10,1.0,50,iid,1
30,0.637,fedavg,10,1.0,50,iid,1
31,0.6394,fedavg,10,1.0,50,iid,1
32,0.6424,fedavg,10,1.0,50,iid,1
33,0.6472,fedavg,10,1.0,50,iid,1
34,0.6538,fedavg,10,1.0,50,iid,1
35,0.6576,fedavg,10,1.0,50,iid,1
36,0.661,fedavg,10,1.0,50,iid,1
37,0.6614,fedavg,10,1.0,50,iid,1
38,0.6661,fedavg,10,1.0,50,iid,1
39,0.6641,fedavg,10,1.0,50,iid,1
40,0.6711,fedavg,10,1.0,50,iid,1
41,0.676,fedavg,10,1.0,50,iid,1
42,0.6778,fedavg,10,1.0,50,iid,1
43,0.677,fedavg,10,1.0,50,iid,1
44,0.683,fedavg,10,1.0,50,iid,1
45,0.6797,fedavg,10,1.0,50,iid,1
46,0.6875,fedavg,10,1.0,50,iid,1
47,0.6876,fedavg,10,1.0,50,iid,1
48,0.6885,fedavg,10,1.0,50,iid,1
